slug,title,type,attempts_count,completions_count,question_count,outcome_count,min_options,cover_class,total_images,broken_images,placeholder_images,missing_question_images,missing_outcome_images,duplicate_role,duplicate_of,duplicate_verdict,severity_score,flags
qual-personagem-de-star-wars-voce-e-teste-divertido,Qual personagem de Star Wars domina a sua energia galáctica?,PERSONALITY,0,0,11,15,4,ok_unclassified,19,18,18,8,0,,,,55,ZERO_ATTEMPTS|BROKEN_IMAGES:18|UNRESOLVED_PLACEHOLDER_IMAGES:18
que-personagem-do-harry-potter-e-teste-de-personalidade,Qual personagem de Harry Potter revela sua verdadeira energia mágica?,PERSONALITY,0,0,10,10,4,ok_unclassified,11,10,10,10,0,,,,31,ZERO_ATTEMPTS|BROKEN_IMAGES:10|UNRESOLVED_PLACEHOLDER_IMAGES:10
com-qual-celebridade-eu-me-pareco-questionario-divertido-sobre-sosias-de-celebridades,Qual celebridade tem a mesma energia que você?,PERSONALITY,0,0,12,10,3,ok_unclassified,11,10,10,12,0,,,,31,ZERO_ATTEMPTS|BROKEN_IMAGES:10|UNRESOLVED_PLACEHOLDER_IMAGES:10
qual-e-a-sua-cor-de-mms-descubra-sua-personalidade-mm,Qual cor de M&M's revela sua personalidade doce e secreta?,PERSONALITY,0,0,10,6,6,ok_unclassified,17,10,10,0,0,,,,31,ZERO_ATTEMPTS|BROKEN_IMAGES:10|UNRESOLVED_PLACEHOLDER_IMAGES:10
qual-e-a-sua-cor-do-arco-iris,Qual Cor do Arco-Íris Combina com a Sua Energia?,PERSONALITY,0,0,10,6,4,ok_unclassified,17,10,10,0,0,,,,31,ZERO_ATTEMPTS|BROKEN_IMAGES:10|UNRESOLVED_PLACEHOLDER_IMAGES:10
podemos-adivinhar-seu-emoji-favorito-quiz-divertido,Será que Conseguimos Adivinhar Seu Emoji Favorito?,PERSONALITY,0,0,12,8,2,ok_unclassified,21,9,9,0,0,,,,28,ZERO_ATTEMPTS|BROKEN_IMAGES:9|UNRESOLVED_PLACEHOLDER_IMAGES:9
qual-muppet-e-voce-descubra-seu-personagem-dos-muppets,Qual Muppet combina com a sua personalidade?,PERSONALITY,0,0,12,8,3,ok_unclassified,21,7,7,0,0,,,,22,ZERO_ATTEMPTS|BROKEN_IMAGES:7|UNRESOLVED_PLACEHOLDER_IMAGES:7
quao-ma-pessoa-voce-realmente-e,Quão vilão você realmente é no dia a dia?,PERSONALITY,0,0,10,6,2,ok_unclassified,7,6,6,10,0,,,,19,ZERO_ATTEMPTS|BROKEN_IMAGES:6|UNRESOLVED_PLACEHOLDER_IMAGES:6
devo-virar-vegano-quiz-para-descobrir,Você Está Pronto para Virar Vegano ou Melhor Começar aos Poucos?,PERSONALITY,0,0,15,4,2,ok_unclassified,10,5,5,10,0,,,,16,ZERO_ATTEMPTS|BROKEN_IMAGES:5|UNRESOLVED_PLACEHOLDER_IMAGES:5
qual-e-o-teu-digimon-descubra-seu-digimon-ideal,Qual Digimon seria seu parceiro ideal no Mundo Digital?,PERSONALITY,0,0,12,10,2,ok_unclassified,14,9,0,9,0,,,,10,ZERO_ATTEMPTS|BROKEN_IMAGES:9
